"region_iso3c","date","Unemployment Rate"
"EAS",2017,3.8411180534561007
"EAS",2018,3.734351528490593
"EAS",2019,3.786068673499843
"EAS",2020,4.275617531512876
"EAS",2021,3.997144016725126
"EAS",2022,4.071193572706253
"ECS",2017,7.680114136354053
"ECS",2018,7.105833172167172
"ECS",2019,6.924009703732514
"ECS",2020,7.340678649920839
"ECS",2021,7.13487948783151
"ECS",2022,6.49569547901365
"LCN",2017,7.89771091050321
"LCN",2018,7.802132201544648
"LCN",2019,7.843507067511114
"LCN",2020,10.002805189955094
"LCN",2021,9.072667154903566
"LCN",2022,6.930370675219872
"MEA",2017,11.036163854053791
"MEA",2018,10.70546289304514
"MEA",2019,10.014463127956356
"MEA",2020,10.687392031697186
"MEA",2021,10.582892251013465
"MEA",2022,10.275712803263962
"NAC",2017,4.560072150496831
"NAC",2018,4.096578639055586
"NAC",2019,3.874482293874365
"NAC",2020,8.195133697811944
"NAC",2021,5.567185888215035
"NAC",2022,3.7754848575202025
"SAS",2017,7.046332420814655
"SAS",2018,7.006300231404624
"SAS",2019,6.2517973460216245
"SAS",2020,9.326376631262109
"SAS",2021,7.346327529254699
"SAS",2022,7.029072912539042
"SSF",2017,6.148907609388239
"SSF",2018,6.16487442001753
"SSF",2019,6.3128430495157994
"SSF",2020,6.940300833054824
"SSF",2021,7.1245391629191275
"SSF",2022,7.080123915205442
